slug,dob,birthplace,pcs_ranking,grand_tours,classics
christian-scaroni,16thOctober 1997,Brescia,1045,4,9
guillermo-thomas-silva-coussan,30thDecember 2001,Maldonado,1795,2,1
harold-tejada,27thApril 1997,Pitalito,,9,1
henok-mulubrhan,11thNovember 1999,Asmara,833,2,3
matteo-malucelli,20thOctober 1993,Forlì,1445,1,
max-kanter,22ndOctober 1997,Cottbus,1960,5,4
sergio-higuita,1stAugust 1997,Medellín,804,7,10
alberto-bettiol,29thOctober 1993,Poggibonsi,775,10,31
clement-champoussin,29thMay 1998,Nice,1936,7,11
diego-ulissi,15thJuly 1989,Cecina,116,15,38
nicolas-vinokurov,7thJuly 2002,Nice,,2,2
yevgeniy-fedorov,16thFebruary 2000,Aktobe,1414,4,15
davide-ballerini,21stSeptember 1994,Cantù,1122,9,20
mike-teunissen,25thAugust 1992,Ysselsteyn,1043,9,24
lorenzo-fortunato,9thMay 1996,Bologna,1574,7,7
cristian-rodriguez,3rdMarch 1995,El Ejido,2182,10,3
simone-velasco,2ndDecember 1995,Bologna,1964,4,21
harold-martin-lopez,3rdDecember 2000,Ibarra,,3,1
aaron-gate,26thNovember 1990,Auckland,1188,1,4
haoyu-su,26thOctober 2000,,,,
davide-toneatti,9thApril 2001,Tolmezzo,,,3
gleb-syritsa,14thApril 2000,Saint Petersburg,,,7
alessandro-romele,30thAugust 2003,Iseo,,,4
nicola-conci,5thJanuary 1997,Trente,,7,11
arjen-livyns,1stSeptember 1994,Waregem,,3,14
marco-schrettl,11thSeptember 2003,Münster,,,
darren-van-bekkum,20thMarch 2002,Amersfoort,,,
florian-samuel-kajamini,28thFebruary 2003,Bologna,,,
lev-gonov,6thJanuary 2000,Sysert,,,
anton-kuzmin,20thNovember 1996,Taldykorgan,,1,3
tobias-halland-johannessen,23rdAugust 1999,Drøbak,1430,3,7
soren-waerenskjold,12thMarch 2000,Mandal,899,3,10
jonas-abrahamsen,20thSeptember 1995,Skien,1686,3,9
andreas-leknessund,21stMay 1999,Tromsø,1953,4,9
johannes-kulset,14thApril 2004,Oslo,,2,3
rasmus-tiller,28thJuly 1996,Trondheim,1599,3,12
anthon-charmig,25thMarch 1998,Aarhus,,1,3
torstein-traeen,16thJuly 1995,Hønefoss,,4,1
andreas-kron,1stJune 1998,Albertslund,,4,7
anders-halland-johannessen,23rdAugust 1999,Drøbak,,1,6
erlend-blikra,11thJanuary 1997,Stavanger,,1,
fredrik-dversnes,20thMarch 1997,Egersund,,1,6
sakarias-koller-loland,20thSeptember 2001,Bergen,,1,2
martin-tjotta,27thMarch 2001,Oslo,,2,1
markus-hoelgaard,4thOctober 1994,Stavanger,,2,6
alexander-kamp,14thDecember 1993,Copenhagen,2148,2,5
magnus-cort-nielsen,16thJanuary 1993,Rønne,417,13,21
carl-frederik-bevort,24thNovember 2003,København,,,
adne-holter,8thJuly 2000,Lillehammer,,1,5
stian-fredheim,23rdMarch 2003,Kristiansand,,1,2
sven-erik-bystrom,21stJanuary 1992,Haugesund,,8,24
anders-skaarseth,7thMay 1995,Lillehammer,,,6
william-blume-levy,14thJanuary 2001,Horsens,,,10
erik-nordsaeter-resell,28thSeptember 1996,Oslo,,,11
simon-dalby,29thJanuary 2003,Holstebro,,,
henrik-pedersen,3rdDecember 2004,Sønder Felding,,,
storm-ingebrigtsen,17thFebruary 2005,Fredrikstad,,,2
jonas-hem-hvideberg,9thFebruary 1999,Rolvsøy,,2,2
martin-urianstad,6thFebruary 1999,Stavanger,,,4
tobias-svarre,19thJuly 2004,Faxe,,,
tadej-pogacar,21stSeptember 1998,Klanec,4,8,24
isaac-del-toro,27thNovember 2003,Ensenada,294,2,4
brandon-mcnulty,2ndApril 1998,Phoenix,422,7,6
jay-vine,16thNovember 1995,Townsville,614,8,3
jhonatan-narvaez,4thMarch 1997,El Playón de San Francisco,623,9,6
jan-christen,26thJune 2004,Leuggern,1561,1,2
joao-almeida,5thAugust 1998,Caldas da Rainha,210,10,5
benoit-cosnefroy,17thOctober 1995,Cherbourg-en-Cotentin,302,5,14
adam-yates,7thAugust 1992,Bury,122,17,15
antonio-morgado,28thJanuary 2004,Caldas da Rainha,1661,1,6
igor-arrieta-lizarraga,8thDecember 2002,Uharte Arakil,,2,
tim-wellens,10thMay 1991,Sint-Truiden,137,10,36
florian-vermeersch,12thMarch 1999,Ghent,1833,3,14
pavel-sivakov,11thJuly 1997,San Donà di Piave,719,11,8
marc-soler,22ndNovember 1993,Vilanova i la Geltrú,806,17,6
felix-grossschartner,23rdDecember 1993,Wels,1017,11,8
kevin-vermaerke,16thOctober 2000,Johannesburg,,4,14
nils-politt,6thMarch 1994,Cologne,1193,9,26
adria-pericas-capdevila,26thMay 2006,Tona,,,
juan-sebastian-molano,4thNovember 1994,Paipa,688,9,5
